SMILES,des_cv,pred_cv,Err_pred_des,jobacks,Err_joback_des,Err_joback_pred
CC1C(O)CCCC2CC21,32.5124,39.119137,0.2032066783843313,41.97561341631636,0.22544550623857965,0.0680508558144385
CCCC#CCCC=N,32.5124,37.965168,0.1677134877544438,40.770952272309806,0.20255971008846718,0.06881821777352494
C#CC1(C)C2CN21,32.5124,24.697496,0.2403668626682567,27.303175337525552,0.19079189867395666,0.09543502927091044
COCC1CCOCCO1,32.5124,37.813755,0.1630564041842617,41.88495407658849,0.22376899493432326,0.0971995592771601
CC1NCC1OCCC(O)CO,32.5124,42.218437,0.2985333963295302,53.211722578678845,0.3889992951848689,0.20659518327797363
C#CC1=C2CC(C1)O2,32.5124,25.691769,0.2097855388639339,28.586810086823213,0.1373217193962556,0.101271917994014
CCCCN1CC12CC2,32.5124,36.751858,0.130395103331909,39.8011215256042,0.18312854628770556,0.07661250258092857
CC1(CNCC#N)CC1,32.5124,36.27365,0.1156866648739212,38.03174021418843,0.14512457707968204,0.04622692004854778
CCC12CCCC1CC2,32.5124,36.73478,0.1298698145295381,38.349260796412594,0.15220269374680118,0.0420993980818431
C#CC1CC2(C)CC12,32.5124,30.917103,0.0490673461903549,32.43493850829736,0.0023882114554595736,0.04679631218998828
CCc1cnocnncn1,32.5124,34.12719,0.049666885133994,34.861231724020755,0.06737661315627921,0.021056104093848532
C#CCNOCC=C=C,32.5124,35.340538,0.0869864428618725,40.700727232463045,0.20118380651272508,0.13169762795264595
CCC1=CCCC1C(C)O,38.5567,41.516068,0.0767536512430476,44.77976727819091,0.13897051406119593,0.07288334613075205
CCC1CCOC1CC,38.5567,37.784866,0.0200181464438654,42.34263231588446,0.08941183173593581,0.10764012690289575
CCCC(CC)OCCO,38.5567,42.214012,0.0948554245045892,51.82767338591833,0.2560596013465671,0.18549282184313493
C#CC#CCC(O)C=O,38.5567,33.741585,0.1248840077643566,35.944759392051836,0.07266540803513405,0.061293340929665666
CCCC(N)C(O)C=O,38.5567,38.776592,0.0057030880401764,43.38022065108426,0.11119170393071061,0.10612275783731388
CC(CO)C1OC1(C)O,38.5567,39.51778,0.0249264149669208,39.20093557810957,0.016434188842914355,0.008082572959492345
COC1NC=CCCC1C,38.5567,39.26497,0.0183695407560894,41.889579166108035,0.07956344352116569,0.06265541975727348
C=C(C)C(CN)OCC,38.5567,40.688843,0.0552988915917985,45.87491856439142,0.15952548349746604,0.11304816938502225
CCCN1CCC2CCC1C2,39.505,40.057785,0.0139927865885251,48.51514187332386,0.18571813923269392,0.1743240676365857
CCNC1CC(COC)CO1,39.505,42.15234,0.0670127815543027,50.11959006786531,0.2117852531014806,0.15896478915883216
CCC1CCNOOCC1C,39.505,41.768227,0.0572896246939666,47.342447117383145,0.16554799328286934,0.117742543040966
CCNC1OC1CC(N)CO,39.505,42.200897,0.0682419242322964,51.42802356143544,0.23183903902494526,0.17941826114341727
CCC12NC1C(C)C2O,39.505,36.826256,0.0678077256463779,37.96093499987981,0.04067510455485568,0.029890702109508175
CCCC(CCC)OCCO,39.505,42.230007,0.0689787918397888,57.2996715556173,0.31055451231243264,0.26299739852767035
CCNN1CCCC(O)CC1,39.505,42.055885,0.0645712014919985,47.93065313390172,0.17578840643717808,0.12256808012796405
CCNC#CCCO,39.505,35.08339,0.1119253440772924,36.85373696833501,0.0719401409399264,0.04803710868876336
CCCC#CC#CCCO,39.505,40.96463,0.0369479844817902,44.44123425911551,0.11107329356189108,0.0782292462636186
COCC#CCC1CC1O,39.505,39.7444,0.0060599930240237,42.4502727282044,0.0693817150966743,0.06374217535725264
