SMILES,des_cv,pred_cv,Err_pred_des
COCC1(C)CCC1OO,38.715,38.380279541015625,0.008645756398924922
CCN1CC1OC(C)=O,38.715,36.64453125,0.05347975590856266
CCCCC1C(C)C1CC,38.715,40.099430084228516,0.0357595269076201
CCCCC1OC1CCO,38.715,36.45480728149414,0.05838028460560151
CCCCCCCCCO,38.715,39.03478240966797,0.00825990984548535
CCC1C(C)C1(N)C=O,38.715,38.371482849121094,0.008872973030580128
CC#CC1(CCC)CCO1,38.715,36.42143630981445,0.05924224952048431
CN=CC(C=O)OO,38.715,36.99895095825195,0.04432517220064704
CC1CC(O)NC1C,38.715,37.09169006347656,0.04192974135408603
COCC1(CC=O)NC1C,38.715,38.385555267333984,0.008509485539610461
CCN1CC12C1CCC12,38.715,35.55264663696289,0.08168289714676773
CCC(=O)NC(O)COO,38.715,39.52473449707031,0.02091526532533408
CCC#CC(C=O)CO,38.715,40.60315704345703,0.04877068432021252
CCC#CCCCC=O,38.715,37.8723030090332,0.021766679348231958
CCCNC(N)C(N)C(N)=O,38.715,35.40167236328125,0.08558252968406957
C=C(CC)C1CCO1,38.715,35.138893127441406,0.09237005999118163
CC#CCCC(C)CCO,38.715,36.210758209228516,0.06468401887566802
C#CC(O)(CO)CO,38.715,35.729530334472656,0.07711402984701916
CC(OCO)OCCO,38.715,36.15224075317383,0.06619551199344376
C#CCCC(C)COO,38.715,36.763824462890625,0.05039843825673197
CC1CC2OC(CO)C12,38.715,35.653594970703125,0.07907542371940793
C#CCCC(=O)C#N,38.715,37.23287582397461,0.03828294397585933
CCCC(CCNCC)OO,38.715,35.610923767089844,0.08017761159525144
CC(C)(N)C(O)CCO,38.715,38.44499969482422,0.006974048951976873
CCNC1CCCC1C,38.715,34.90114212036133,0.0985111166121316
CC(O)C(=N)C(O)CC=O,38.715,36.88439178466797,0.047284210650446454
CC(CO)C(O)CCO,38.715,41.724639892578125,0.07773834153630689
COCCOC1OCCCC1C,38.715,36.25307083129883,0.0635910930828148
CC(O)CCC1CC(O)C1,38.715,36.613651275634766,0.054277378906502326
COCC1(C)OCC1OC,38.715,35.39120101928711,0.08585300221394533
O=CNCC1NCC1O,38.715,34.92164611816406,0.09798150282412348
CCCCCCNCC=O,38.715,35.13731384277344,0.09241085256945798
CC#CC(C=O)CO,38.715,37.16875457763672,0.03993918177355765
CC(C=O)C1NC=CCO1,38.715,35.77442932128906,0.0759542988172786
CC1CCCC(C)(C)C=N1,38.715,35.17919158935547,0.09132915951555041
CC1C=CC(C=O)CO1,38.715,34.92778015136719,0.09782306208531101
CC(C=O)CC(C)CO,38.715,42.005638122558594,0.08499646448556347
